El.  	  Z	   A	Spin/Parity  	  Isotopic fraction	  Mag. moment	  num. density (core)	  num. density (mantle)	  num. density (crust)
Er   	 68	 167	7/2+         	             0.2287	   -0.56385  	          0          	            7.62944e+30	           3.13131e+31
Er   	 68	 168	0+           	             0.2698	    0        	          0          	            7.62944e+30	           3.13131e+31
Er   	 68	 170	0+           	             0.1491	    0        	          0          	            7.62944e+30	           3.13131e+31
Tm   	 69	 169	1/2+         	             1     	   -0.231    	          0          	            1.19064e+30	           4.6504e+30
Yb   	 70	 168	0+           	             0.0012	    0        	          0          	            7.51625e+30	           2.82492e+31
Yb   	 70	 170	0+           	             0.0298	    0        	          0          	            7.51625e+30	           2.82492e+31
Yb   	 70	 171	1/2-         	             0.1409	    0.49367  	          0          	            7.51625e+30	           2.82492e+31
Yb   	 70	 172	0+           	             0.2168	    0        	          0          	            7.51625e+30	           2.82492e+31
Yb   	 70	 173	5/2-         	             0.161 	   -0.648    	          0          	            7.51625e+30	           2.82492e+31
Yb   	 70	 174	0+           	             0.3203	    0        	          0          	            7.51625e+30	           2.82492e+31
Yb   	 70	 176	0+           	             0.13  	    0        	          0          	            7.51625e+30	           2.82492e+31
Lu   	 71	 176	7-           	             0.026 	    3.169    	          0          	            1.10287e+30	           5.68739e+30
Hf   	 72	 174	0+           	             0.0016	    0        	          0          	            4.60039e+30	           3.22771e+31
Hf   	 72	 176	0+           	             0.0526	    0        	          0          	            4.60039e+30	           3.22771e+31
Hf   	 72	 177	7/2-         	             0.186 	    0.7935   	          0          	            4.60039e+30	           3.22771e+31
Hf   	 72	 178	0+           	             0.2728	    0        	          0          	            4.60039e+30	           3.22771e+31
Hf   	 72	 179	9/2+         	             0.1362	   -0.6409   	          0          	            4.60039e+30	           3.22771e+31
Hf   	 72	 180	0+           	             0.3508	    0        	          0          	            4.60039e+30	           3.22771e+31
Ta   	 73	 180	9-           	             0.0001	    4.825    	          0          	            6.47411e+29	           1.64017e+31
Ta   	 73	 181	7/2+         	             0.9999	    2.3705   	          0          	            6.47411e+29	           1.64017e+31
W    	 74	 180	0+           	             0.0012	    0        	          1.6882e+31 	            1.77831e+29	           1.04459e+31
W    	 74	 182	0+           	             0.265 	    0        	          1.6882e+31 	            1.77831e+29	           1.04459e+31
W    	 74	 183	1/2-         	             0.1431	    0.117785 	          1.6882e+31 	            1.77831e+29	           1.04459e+31
W    	 74	 184	0+           	             0.3064	    0        	          1.6882e+31 	            1.77831e+29	           1.04459e+31
W    	 74	 186	0+           	             0.2843	    0        	          1.6882e+31 	            1.77831e+29	           1.04459e+31
Re   	 75	 185	5/2+         	             0.374 	    3.1871   	          8.15641e+30	            5.12079e+27	           2.43765e+28
Re   	 75	 187	5/2+         	             0.626 	    3.2197   	          8.15641e+30	            5.12079e+27	           2.43765e+28
Os   	 76	 184	0+           	             0.0002	    0        	          9.71955e+31	            5.58535e+28	           1.65192e+28
Os   	 76	 186	0+           	             0.0159	    0        	          9.71955e+31	            5.58535e+28	           1.65192e+28
Os   	 76	 187	1/2-         	             0.0196	    0.0646519	          9.71955e+31	            5.58535e+28	           1.65192e+28
Os   	 76	 188	0+           	             0.1324	    0        	          9.71955e+31	            5.58535e+28	           1.65192e+28
Os   	 76	 189	3/2-         	             0.1615	    0.659933 	          9.71955e+31	            5.58535e+28	           1.65192e+28
Os   	 76	 190	0+           	             0.2626	    0        	          9.71955e+31	            5.58535e+28	           1.65192e+28
Os   	 76	 192	0+           	             0.4078	    0        	          9.71955e+31	            5.58535e+28	           1.65192e+28
Ir   	 77	 191	3/2+         	             0.373 	    0.1507   	          8.932e+31  	            4.96068e+28	           3.63298e+27
Ir   	 77	 193	3/2+         	             0.627 	    0.1637   	          8.932e+31  	            4.96068e+28	           3.63298e+27
Pt   	 78	 190	0+           	             0.0001	    0        	          1.92945e+32	            1.06138e+29	           3.31122e+29
Pt   	 78	 192	0+           	             0.0078	    0        	          1.92945e+32	            1.06138e+29	           3.31122e+29
Pt   	 78	 194	0+           	             0.3286	    0        	          1.92945e+32	            1.06138e+29	           3.31122e+29
Pt   	 78	 195	1/2-         	             0.3378	    0.60952  	          1.92945e+32	            1.06138e+29	           3.31122e+29
Pt   	 78	 196	0+           	             0.2521	    0        	          1.92945e+32	            1.06138e+29	           3.31122e+29
Pt   	 78	 198	0+           	             0.0736	    0        	          1.92945e+32	            1.06138e+29	           3.31122e+29
Au   	 79	 197	3/2+         	             1     	    0.145746 	          1.67627e+31	            2.35137e+28	           2.74766e+28
Hg   	 80	 196	0+           	             0.0015	    0        	          1.64599e+30	            8.14905e+28	           5.83123e+29
Hg   	 80	 198	0+           	             0.0997	    0        	          1.64599e+30	            8.14905e+28	           5.83123e+29
Hg   	 80	 199	1/2-         	             0.1687	    0.505885 	          1.64599e+30	            8.14905e+28	           5.83123e+29
Hg   	 80	 200	0+           	             0.231 	    0        	          1.64599e+30	            8.14905e+28	           5.83123e+29
Hg   	 80	 201	3/2-         	             0.1318	   -0.560226 	          1.64599e+30	            8.14905e+28	           5.83123e+29
Hg   	 80	 202	0+           	             0.2986	    0        	          1.64599e+30	            8.14905e+28	           5.83123e+29
Hg   	 80	 204	0+           	             0.0687	    0        	          1.64599e+30	            8.14905e+28	           5.83123e+29
Tl   	 81	 203	1/2+         	             0.2952	    1.62226  	          9.69267e+29	            5.46518e+28	           4.61258e+30
Tl   	 81	 205	1/2+         	             0.7048	    1.63821  	          9.69267e+29	            5.46518e+28	           4.61258e+30
Pb   	 82	 204	0+           	             0.014 	    0        	          1.27479e+31	            2.43247e+30	           8.42568e+31
Pb   	 82	 206	0+           	             0.241 	    0        	          1.27479e+31	            2.43247e+30	           8.42568e+31
Pb   	 82	 207	1/2-         	             0.221 	    0.592583 	          1.27479e+31	            2.43247e+30	           8.42568e+31
Pb   	 82	 208	0+           	             0.524 	    0        	          1.27479e+31	            2.43247e+30	           8.42568e+31
